numer,Adres,Granice obwodu
357,Kraków os. Oświecenia 30,"OSIEDLE OŚWIECENIA od 9 do 13, 33, 33 a"
358,Kraków os. Oświecenia 30,OSIEDLE OŚWIECENIA od 18 do 27
359,Kraków os. Oświecenia 30,"ALEJA GENERAŁA BORA-KOMOROWSKIEGO od 37, BOHOMOLCA nieparzyste od 1 do 11, DOBREGO PASTERZA 124, KNIAŹNINA parzyste od 2 do 12, KRZESŁAWICKA 2a, 2b, OSIEDLE OŚWIECENIA od 28 do 32, 34, 44, 45"
360,Kraków os. Złotego Wieku 14,OSIEDLE ZŁOTEGO WIEKU od 1 do 15
361,Kraków os. Złotego Wieku 14,OSIEDLE ZŁOTEGO WIEKU od 16 do 32
362,Kraków os. Złotego Wieku 36,OSIEDLE ZŁOTEGO WIEKU od 33 do 52
363,Kraków os. Złotego Wieku 36,OSIEDLE BOHATERÓW WRZEŚNIA od 57 do 81
364,Kraków os. Złotego Wieku 4,"BAZIAKA, BUDZISZYŃSKA, KORONY POLSKIEJ, KSIĘDZA KUCZKOWSKIEGO, KSIĘDZA KURZEI, MOSDORFA, NA ZBOCZU, ORŁA BIAŁEGO, OSIEDLE ZŁOTEGO WIEKU od 68, PARNICKIEGO, WAWELSKA parzyste od 8 do 16, ZAWIEYSKIEGO, ZJAZDU GNIEŹNIEŃSKIEGO"
365,Kraków os. Złotego Wieku 4,"OSIEDLE ZŁOTEGO WIEKU od 53 do 67, WAWELSKA 6"
366,Kraków os. Bohaterów Września 13,OSIEDLE BOHATERÓW WRZEŚNIA od 1 do 5
367,Kraków os. Bohaterów Września 13,OSIEDLE BOHATERÓW WRZEŚNIA od 6 do 14
368,Kraków os. Bohaterów Września 13,OSIEDLE BOHATERÓW WRZEŚNIA od 26 do 38
369,Kraków os. Bohaterów Września 13,OSIEDLE BOHATERÓW WRZEŚNIA od 39 do 55
370,Kraków os. Bohaterów Września 13,OSIEDLE BOHATERÓW WRZEŚNIA od 15 do 25
371,Kraków os. Piastów 34A,OSIEDLE PIASTÓW od 1 do 11
372,Kraków os. Piastów 34A,"OSIEDLE MISTRZEJOWICE 14, OSIEDLE PIASTÓW od 12 do 17a, 29, 34, 34a"
373,Kraków os. Piastów 34A,"OSIEDLE MISTRZEJOWICE 13, OSIEDLE PIASTÓW od 18 do 28"
374,Kraków os. Piastów 34A,OSIEDLE PIASTÓW od 30 do 44 (bez 34 i 34 a)
375,Kraków os. Piastów 34,"DMOWSKIEGO, DO FORTU, GENERAŁA OKULICKIEGO 44, 60, 66, 68, KORFANTEGO, KRÓLOWEJ MARYSIEŃKI, KSIĘDZA KARDYNAŁA SAPIEHY, KSIĘDZA MAZANKA, MARYCJUSZA, MISTRZEJOWICKA, OSIEDLE MISTRZEJOWICE od 1 do 53 (bez 13, 14)"
376,Kraków os. Piastów 34,"DZIEKANOWICKA, OSIEDLE PIASTÓW od 54, POWSTAŃCÓW nieparzyste od 121 do 129 i parzyste od 54 do 64"
377,Kraków os. Piastów 34,OSIEDLE PIASTÓW od 45 do 53
378,Kraków os. Kościuszkowskie 7,OSIEDLE KOŚCIUSZKOWSKIE od 1 do 8
379,Kraków os. Kościuszkowskie 7,OSIEDLE KOŚCIUSZKOWSKIE od 9 do 11
380,Kraków os. Wysokie 6,"OSIEDLE NA LOTNISKU 1, 2, 4, 6, od 19 do 27"
381,Kraków os. Wysokie 6,"KRÓLA, OSIEDLE NA LOTNISKU 3 i od 7 do 18a"
382,Kraków os. Wysokie 7,OSIEDLE STRUSIA od 1 do 6
383,Kraków os. Wysokie 7,"OSIEDLE WYSOKIE od 1 do 22 c, URSZULKI, ZŁOCZOWSKA"
384,Kraków os. Strusia 19,OSIEDLE STRUSIA od 7 do 12
385,Kraków os. Strusia 19,"BOGUSZA, OSIEDLE STRUSIA od 13 do 20"
386,Kraków os. Kalinowe 17,OSIEDLE KALINOWE od 1 do 11
387,Kraków os. Kalinowe 18,OSIEDLE KALINOWE od 12 do 17
388,Kraków os. Kalinowe 18,OSIEDLE KALINOWE od 18 do 24
389,Kraków os. Niepodległości 19,OSIEDLE NIEPODLEGŁOŚCI od 1 do 7
390,Kraków os. Niepodległości 19,OSIEDLE NIEPODLEGŁOŚCI od 8 do 19
391,Kraków os. Albertyńskie 36,OSIEDLE ALBERTYŃSKIE od 12 do 21
392,Kraków os. Albertyńskie 36,"MAŁEGO KSIĘCIA, OSIEDLE ALBERTYŃSKIE od 22 do 30"
393,Kraków os. Albertyńskie 36,"DĄBROWSKIEJ od 17 do 17I, OSIEDLE ALBERTYŃSKIE 1, 2 i od 31 do 38"
394,Kraków os. Jagiellońskie 18,"OSIEDLE PRZY ARCE od 1 do 8, PORUCZNIKA SZCZEKLIKA"
395,Kraków os. Jagiellońskie 18,OSIEDLE PRZY ARCE od 9 do 12 i 14
396,Kraków os. Jagiellońskie 18,OSIEDLE PRZY ARCE 13 i od 15 do 19
397,Kraków os. Złotej Jesieni 16,"BATALIONU ""/PARASOL""/, OSIEDLE PRZY ARCE od 20 do 26"
398,Kraków os. Złotej Jesieni 16,"FATIMSKA, SZYBKA"
399,Kraków os. Złotej Jesieni 16,"ANDERSENA, BULWAROWA nieparzyste, CIENISTA, KACZEŃCOWA, KOCMYRZOWSKA nieparzyste do 7a, MAKUSZYŃSKIEGO nieparzyste, ODMOGILE, PODRZECZE od 2 do 28, STADIONOWA, WOJCIECHOWSKIEGO"
400,Kraków os. Złotej Jesieni 2,"GENERAŁA OKULICKIEGO nieparzyste od 49 do 59, ŁOPACKIEGO, OBROŃCÓW KRZYŻA 1, OSIEDLE ZŁOTEJ JESIENI (bez 1)"
401,Kraków os. Złotej Jesieni 2,"OSIEDLE JAGIELLOŃSKIE od 1 do 8, 27, 37"
402,Kraków os. Jagiellońskie 9,"ANNY JAGIELLONKI, BARBARY RADZIWIŁŁÓWNY, KRÓLOWEJ BONY, OSIEDLE JAGIELLOŃSKIE od 9 do 26, od 28 do 36"
403,Kraków os. Jagiellońskie 9,OSIEDLE KAZIMIERZOWSKIE od 26 do 34
404,Kraków os. Jagiellońskie 9,"OSIEDLE KAZIMIERZOWSKIE od 1 do 15, SPYTKA Z MELSZTYNA"
405,Kraków os. Jagiellońskie 9,"ELŻBIETY ŁOKIETKÓWNY, OSIEDLE KAZIMIERZOWSKIE od 18 do 25"
406,Kraków ul. Wańkowicza 17,"KLEINERA, KOCMYRZOWSKA nieparzyste od 9 do 19 i parzyste od 2 do 6, KRASNOWOLSKIEGO, LEHRA-SPŁAWIŃSKIEGO, ŁEMPICKIEGO, ŁOWIŃSKIEGO 1, MAKUSZYŃSKIEGO parzyste, POLSKIEGO CZERWONEGO KRZYŻA, PRZEBINDOWSKIEGO, WAŃKOWICZA nieparzyste i parzyste od 26, WĄWOZOWA"
407,Kraków os. Na Wzgórzach 13A,"OSIEDLE NA WZGÓRZACH od 1 do 10, od 36 do 44, 59"
408,Kraków os. Na Wzgórzach 13A,"OSIEDLE NA WZGÓRZACH od 11 do 13 a, od 28 do 35"
409,Kraków os. Na Wzgórzach 13A,OSIEDLE NA WZGÓRZACH od 14 do 27
410,Kraków os. Na Stoku 52,"DARWINA 4, KOCMYRZOWSKA 8, ŁOWIŃSKIEGO 3, 4, 5, OSIEDLE NA STOKU od 1 do 9 i od 35 do 52"
411,Kraków os. Na Stoku 34,"OSIEDLE NA STOKU od 10 do 27 (bez 23 a, 24 a)"
412,Kraków os. Na Stoku 34,"ARCHITEKTÓW, BACEWICZÓWNY, BOLESŁAWA KRZYWOUSTEGO, BOLESŁAWA WSTYDLIWEGO, CZERWONEGO KAPTURKA, GROICKIEGO, HENRYKA BRODATEGO, JANA KAZIMIERZA, JANA OLBRACHTA, JANCZARSKIEGO, JASIA I MAŁGOSI, JASKRA, KAZIMIERZA JAGIELLOŃCZYKA, KAZIMIERZA SPRAWIEDLIWEGO, KISIELEWSKIEGO, KLEMENSA Z RUSZCZY, KOWNACKIEJ, LESZKA BIAŁEGO, LESZKA CZARNEGO, MORTKOWICZ-OLCZAKOWEJ, PETŐFIEGO, PIOTRUSIA PANA, PŁOMYCZKA, PORAZIŃSKIEJ, PRZEMYSŁAWA II, PRZYBOSIA, RYCERSKA, SAMOZWANIEC, STANISŁAWA AUGUSTA PONIATOWSKIEGO, WIERZYNKA, WŁADYSŁAWA IV, WŁADYSŁAWA JAGIEŁŁY"
413,Kraków os. Na Stoku 34,"OSIEDLE NA STOKU 23a, 24a, od 27a do 34a"
414,Kraków ul. Styczna 1,"BIRKUTA, BOŻYWOJA, BUKSZPANOWA, CIEŚLIŃSKIEJ-BRZESKIEJ, CYPRYSÓW, DARWINA nieparzyste od 1 do 47F, FLORKOWSKIEGO, FOLWARCZNA, FREEGE?GO, GEODETÓW, GERLAHA, GŁĘBINOWA, GRĘBAŁOWSKA, JUBILEUSZOWA, KAMBERSKIEGO, KANTOROWICKA nieparzyste od 1 do 105 i parzyste od 4 do 54H, KIRCHMAJERA, KOCMYRZOWSKA nieparzyste od 21 i parzyste od 10, KOROHODY, KSIĘDZA HYCA, KSIĘDZA KACZYŃSKIEGO, LUBORZYCKA, ŁĄCKA, NIEBYŁA, OBWODOWA, PŁASKA, POMYKANY, PRUSKA, PRZYMIARKI, STEFCZYKA, STOKOWA, STUDZIENNA, STYCZNA, SYBIRAKÓW, TWAROGA"
415,Kraków ul. Łuczanowicka 2A,"BLOKOWA, BURZOWA, DARWINA nieparzyste od 49 i parzyste od 6, GRZEGORZA Z SANOKA, KOMASY, LUBOCKA, ŁAZOWA, ŁOWIŃSKIEGO 7, 11, 13, 15, ŁUCZANOWICKA 2, 7, 9, 11, 13, 19, MARGLOWA, MROZOWA, NIEWIELKA, ROWIDA, WIELKICH PIECÓW"
416,Kraków ul. Jaskrowa 5,"BETLEJEMSKA, BRACI POLSKICH, BRUŚNICKA, BYSTRONIA, GLINIK, GODEBSKIEGO, IRZYKOWSKIEGO, JASEŁKOWA, JASKROWA, KALWIŃSKA, KOLĘDNICZA, KOSÓW, KSIĘDZA FIGLEWICZA, KULINOWSKIEJ, LASOWISKO, ŁUCZANOWICKA (bez 2, 7, 9, 11, 13, 19), MORSTINA, MYCIELSKIEGO, ORGANKI, ORŁOWSKIEGO, PANKIEWICZA, PASTERSKA, SAJAKÓWKA, SKOCZYLASA, SOCZYNY, SPŁAWY (bez 2), SULISŁAWA, TRZECH KRÓLI, UZIEMBŁY, WADOWSKA, WĘGRZYNOWICKA, WITTIGA, WODOCZA, ZA OGRODEM, ZAGOŚCINIEC, ZAWIELGUSIE, ŻONKILOWA"
417,Kraków ul. Morcinka 5,"JEZIORANY, KANTOROWICKA nieparzyste od 111 i parzyste od 58, MORCINKA, NAD BARANÓWKĄ, STARY GOŚCINIEC, WIELKIE POLA, ZAKŁADOWA, ZAKOLE, ZESŁAWICKA"
418,Kraków ul. Sawy-Calińskiego 12,"BARWNA, DYBOWSKIEGO, HEKTARY, IGOŁOMSKA od 83 do 105, KOŚCIELNICKA, KUŚNIERSKA, ŁOZIŃSKIEGO, OSTAFINA, OSTRÓWKA, PŁOSZCZYNY, POD GAJEM, PODBIAŁOWA, PYSOCICE, SAWY-CALIŃSKIEGO, STOPKI, WALIGÓRSKIEGO, WIEWIÓRCZA, WODZICKICH, WRÓŻENICKA"
419,Kraków os. Centrum A 6A,OSIEDLE CENTRUM A od 1 do 14
420,Kraków os. Willowe 1,OSIEDLE HUTNICZE
421,Kraków os. Willowe 1,OSIEDLE WANDY
422,Kraków os. Ogrodowe 15,OSIEDLE OGRODOWE
423,Kraków os. Na Skarpie 46,"CERCHÓW, OSIEDLE MŁODOŚCI od 1 do 15 (bez 9, 10, 11), OSIEDLE NA SKARPIE od 21 do 46, SIEROSZEWSKIEGO 1, 1 A, 3"
424,Kraków os. Na Skarpie 8,"BISKUPA TOMICKIEGO 3, 5, OSIEDLE CENTRUM E od 1 do 25"
425,Kraków os. Na Skarpie 8,"OSIEDLE MŁODOŚCI 9, 10, 11, OSIEDLE NA SKARPIE od 1 do 20 i od 47 do 64"
426,Kraków os. Stalowe 18,"OSIEDLE WILLOWE od 1 do 37, PLAC PRZY POCZCIE"
427,Kraków os. Stalowe 18,OSIEDLE STALOWE od 1 do 18
428,Kraków os. Centrum B 6,OSIEDLE CENTRUM B
429,Kraków os. Szklane Domy 2,OSIEDLE SZKLANE DOMY
430,Kraków os. Słoneczne 12,OSIEDLE SŁONECZNE
431,Kraków os. Szkolne 5,"OSIEDLE SZKOLNE od 1 do 5, od 28 a do 37"
432,Kraków os. Szkolne 26,OSIEDLE SZKOLNE od 6 do 27
433,Kraków os. Szkolne 18,OSIEDLE ZIELONE od 1 do 28
434,Kraków os. Szkolne 18,"BULWAROWA 2, OSIEDLE SPORTOWE (bez Nr 9)"
435,Kraków os. Centrum C 10,OSIEDLE CENTRUM C
436,Kraków os. Zgody 1,"OSIEDLE ZGODY, SEIFERTA"
437,Kraków os.Teatralne 35,OSIEDLE UROCZE
438,Kraków os. Teatralne 35,"LUDŹMIERSKA, OSIEDLE TEATRALNE od 8 do 24, od 34 do 35,"
439,Kraków os. Górali 5,OSIEDLE GÓRALI
440,Kraków os. Krakowiaków 47,OSIEDLE KRAKOWIAKÓW od 1 do 17
441,Kraków os. Krakowiaków 47,OSIEDLE KRAKOWIAKÓW od 18 do 47
442,Kraków os. Teatralne 33,"OSIEDLE TEATRALNE od 1 do 7, od 25 do 33"
443,Kraków os. Handlowe 4,OSIEDLE CENTRUM D
444,Kraków os. Handlowe 4,OSIEDLE HANDLOWE
445,Kraków os. Kolorowe 29,"OSIEDLE KOLOROWE od 1 do 15, 17 a"
446,Kraków os. Kolorowe 29,OSIEDLE KOLOROWE od 16 do 47 (bez 17 a)
447,Kraków os. Spółdzielcze 6,OSIEDLE SPÓŁDZIELCZE
448,Kraków ul. Ptaszyckiego 9,"BARDOSA, GRANICZNA, GRĄBY, HUTNIKA, JAGIENKI, JEŻYNOWA, JUTRZYŃSKA, KĘPSKA, KLASZTORNA, KMICICA, KOPANIEC, KUBLIŃSKIEGO, LONGINUSA PODBIPIĘTY nieparzyste 15 i od 61, NA NIWACH, ODMĘTOWA nieparzyste do 99, parzyste do 28A, OPATA SALWIŃSKIEGO, PODBAGNIE, POWIATOWA, PTASZYCKIEGO, SAMOSTRZELNIKA, STARE WIŚLISKO, SYRACHOWSKA, UJASTEK MOGILSKI, WAŃKOWICZA parzyste do 22, WIŚNIOWIECKIEGO, WOJENNA, WOŁODYJOWSKIEGO, ZAGŁOBY, ZAKARNIE, ZBYSZKA Z BOGDAŃCA, ZIARKOWA, ŻAGLOWA"
449,Kraków ul. Branicka 26,"BRANICKA, CHAŁUPKI, DESZCZOWA, GENERAŁA KARASZEWICZA-TOKARZEWSKIEGO nieparzyste od 1 do 37d, parzyste od 2 do 44, KĄKOLOWA, KŁOSOWA, ŁUBINOWA, PLASTUSIA, POWOJOWA, RUMIANKOWA, SASANEK, SZYMAŃSKIEGO, TATARAKOWA, TRUSKAWKOWA, WRZOSOWA, ZAPORĘBIE, ŻÓŁWIA"
450,Kraków ul. Prawocheńskiego 7,"BARWINKOWA, CIEKOWIEC, CZECZEŃSKA, GENERAŁA KARASZEWICZA-TOKARZEWSKIEGO nieparzyste od 39, parzyste od 46, IGOŁOMSKA od 35 do 82b, JEZIORKO, NARCYZA-WIATRA, PODSTAWIE, PRAWOCHEŃSKIEGO, PYSOŃCE, RUSIECKA, RZEPAKOWA, SITOWINY, TARASOWA, TRZCINOWA, TYMIANKOWA, UBELINY, WIATRACZNA, WYCIĄSKA, ZA GÓRĄ, ZIEMSKA"
451,Kraków ul. Drożyska 13,"BARTNICZA, BETONOWA, BIWAKOWA, BRZESKA, DROŻYSKA, FLAME, JAGLANA, KONTRYMA, KSIĘDZA LUZARA, MORGI, NADWODNA, PLAC TURZYMY, PLAŻOWA, PLUTY-CZACHOWSKIEGO, PRZYLASEK, SIEJÓWKA, SZLIFIERSKA, WIĄZOWA, ZAKĘPIE"
452,Kraków ul. Nadbrzezie 18,"CEMENTOWA, DYMAREK, GWARECKA, IGOŁOMSKA od 1 do 34, JEZIERSKIEGO, KAROWA, MARTENOWSKA, MŁOTKÓW, NADBRZEZIE, NENCKIEGO, OSTRÓW, POPIELNIK, RUDNI, SUCHY JAR, ŚWIĘTEGO WINCENTEGO, ZIEMIANEK"
