Nr,Siedziba,Typ,,Granice obwodu głosowania
369,"Szkoła Podstawowa Nr 129, Kraków Os. Na Wzgórzach 13a",Powszechny,Nie,"Osiedle Na Wzgórzach od 11 do 13 a, od 28 do 35"
370,"Szkoła Podstawowa Nr 129, Kraków Os. Na Wzgórzach 13a",Powszechny,Nie,Osiedle Na Wzgórzach od 14 do 27
371,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 6, Kraków Os. Na Stoku 52",Powszechny,Tak,"Darwina 4, Kocmyrzowska 8, Łowińskiego 3, 4, 5, Osiedle Na Stoku od 1 do 9 i od 35 do 52"
372,"Gimnazjum Nr 44, Kraków Os. Na Stoku 34",Powszechny,Nie,"Osiedle Na Stoku od 10 do 27 (bez 23 a, 24 a)"
373,"Gimnazjum Nr 44, Kraków Os. Na Stoku 34",Powszechny,Nie,"Architektów, Bacewiczówny, Bolesława Krzywoustego, Bolesława Wstydliwego, Czerwonego Kapturka, Groickiego, Henryka Brodatego, Jana Kazimierza, Jana Olbrachta, Janczarskiego, Jasia i Małgosi, Jaskra, Kazimierza Jagiellończyka, Kazimierza Sprawiedliwego, Kisielewskiego, Klemensa z Ruszczy, Kownackiej, Leszka Białego, Leszka Czarnego, Mortkowicz-Olczakowej, Petőfiego, Piotrusia Pana, Płomyczka, Porazińskiej, Przemysława II, Przybosia, Rycerska, Samozwaniec, Stanisława Augusta Poniatowskiego, Wierzynka, Władysława IV, Władysława Jagiełły"
374,"Gimnazjum Nr 44, Kraków Os. Na Stoku 34",Powszechny,Nie,"Osiedle Na Stoku 23 a, 24 a, 27 a, od 28 do 34 a"
375,"Klub Osiedlowy ""Dukat"", Kraków Styczna 1 (Grębałów)",Powszechny,Tak,"Birkuta, Bożywoja, Bukszpanowa, Cyprysów, Darwina nieparzyste od 1 do 47F, Florkowskiego, Folwarczna, Freege'go, Gerlaha, Geodetów, Głębinowa, Grębałowska, Jubileuszowa, Kamberskiego, Kantorowicka nieparzyste od 1 do 105 i parzyste od 4 do 54H, Kirchmajera, Księdza Kaczyńskiego, Kocmyrzowska parzyste od 10 i nieparzyste od 21, Korohody, Luborzycka, Łącka, Niebyła, Obwodowa, Płaska, Pomykany, Pruska, Przymiarki, Stefczyka, Stokowa, Studzienna, Styczna, Sybiraków, Twaroga"
376,"Gimnazjum Nr 43, Kraków Łuczanowicka 2a",Powszechny,Nie,"Blokowa, Burzowa, Darwina parzyste od 6 i nieparzyste od 49, Grzegorza z Sanoka, Komasy, Lubocka, Łazowa, Łowińskiego 7, 11, 13, 15, Łuczanowicka 2, 7, 9, 11, 13, 19, Marglowa, Mrozowa, Niewielka, Rowida, Wielkich Pieców"
377,"Szkoła Podstawowa Nr 78, Kraków Jaskrowa 5",Powszechny,Nie,"Betlejemska, Braci Polskich, Bruśnicka, Bystronia, Glinik, Godebskiego, Irzykowskiego, Jasełkowa, Jaskrowa, Kalwińska, Kulinowskiej, Kolędnicza, Kosów, Księdza Figlewicza, Lasowisko, Łuczanowicka (bez 2, 7, 9, 11, 13, 19), Morstina, Mycielskiego, Organki, Orłowskiego, Pankiewicza, Pasterska, Sajakówka, Skoczylasa, Soczyny, Spławy (bez 2), Sulisława, Trzech Króli, Uziembły, Wadowska, Węgrzynowicka, Wittiga, Wodocza, Za Ogrodem, Zagościniec, Zawielgusie, Żonkilowa"
378,Wienerberger Zesławice ul.Gustawa Morcinka 5,Powszechny,Nie,"Jeziorany, Kantorowicka parzyste od 58A do 98 i nieparzyste od 111 do 207, Morcinka, Nad Baranówką, Stary Gościniec, Wielkie Pola, Zakładowa, Zesławicka, Zakole"
379,"Zespół Szkół Ogólnokształcących Nr 52, Kraków Sawy - Calińskiego 12",Powszechny,Nie,"Barwna, Dybowskiego, Hektary, Igołomska od 83 do 105, Kościelnicka, Kuśnierska, Łozińskiego, Ostrówka, Ostafina, Płoszczyny, Pod Gajem, Podbiałowa, Pysocice,Równa, Sawy-Calińskiego, Stopki, Waligórskiego, Wiewiórcza, Wodzickich, Wróżenicka"
380,"Klub ""Jędruś"", Kraków Os. Centrum A, bl. 6a",Powszechny,Nie,Osiedle Centrum A od 1 do 14
381,"Gimnazjum Nr 45 i Nr 47, Kraków Os. Willowe 1",Powszechny,Nie,Osiedle Hutnicze (bez nr 5)
382,"Gimnazjum Nr 45 i Nr 47, Kraków Os. Willowe 1",Powszechny,Nie,Osiedle Wandy
383,"Klub ""Wersalik"", Kraków Os. Ogrodowe 15",Powszechny,Tak,Osiedle Ogrodowe
384,"Przedszkole Samorządowe Nr 46, Kraków Os. Na Skarpie 46",Powszechny,Nie,"Cerchów, Osiedle Młodości od 1 do 15 (bez 9, 10, 11), Osiedle Na Skarpie od 21 do 46, Sieroszewskiego 1, 1A, 3"
385,"Szkoła Podstawowa Nr 80, Kraków Os. Na Skarpie 8",Powszechny,Nie,"Biskupa Padniewskiego, Biskupa Tomickiego 3,5,7, Osiedle Centrum E od 1 do 25"
386,"Szkoła Podstawowa Nr 80, Kraków Os. Na Skarpie 8",Powszechny,Nie,"Osiedle Na Skarpie od 1 do 20, od 47 do 64, Osiedle Młodości 9, 10, 11"
387,"Szkoła Podstawowa Nr 37, Kraków Os. Stalowe 18",Powszechny,Nie,"Osiedle Willowe od 1 do 37, Plac Ożańskiego"
388,"Szkoła Podstawowa Nr 37, Kraków Os. Stalowe 18",Powszechny,Nie,Osiedle Stalowe od 1 do 18
389,"Rada i Zarząd Dzielnicy XVIII, Kraków Os. Centrum B, bl. 6",Powszechny,Tak,Osiedle Centrum B od 1 do 11
390,"Szkoła Podstawowa Nr 88, Kraków Os. Szklane Domy 2",Powszechny,Tak,Osiedle Szklane Domy
391,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 5, Kraków Os. Słoneczne 12",Powszechny,Tak,Osiedle Słoneczne
392,"Filia Młodzieżowego Domu Kultury im. J. Korczaka, Kraków Os. Szkolne 5",Powszechny,Nie,"Osiedle Szkolne od 1 do 5, od 29 do 37"
393,"Zespół Szkół Elektrycznych Nr 2, Kraków Os. Szkolne 26",Powszechny,Nie,Osiedle Szkolne od 6 do 27
394,"Zespół Szkół Budowlanych Nr 2, Kraków Os. Szkolne 18",Powszechny,Nie,Osiedle Zielone od 1 do 28
395,"Zespół Szkół Odzieżowych i Ekonomicznych, Kraków Bulwarowa 33",Powszechny,Nie,"Bulwarowa 2, Osiedle Sportowe ( bez Nr 9)"
396,Krakowska Rada Federacji Stowarzyszeń Naukowo-Technicznych NOT OŚRODEK REJONOWY FSNT NOT os. Centrum C bl.10,Powszechny,Nie,Osiedle Centrum C
397,"Ośrodek Kultury, Kraków Os. Zgody 1",Powszechny,Nie,Osiedle Zgody
398,"Przedszkole Niepubliczne ""Bajka"", Kraków Os. Urocze 6",Powszechny,Nie,Osiedle Urocze
399,"Ośrodek Kultury im. C. K. Norwida, Kraków Os. Górali 5",Powszechny,Nie,Osiedle Górali
400,"Szkoła Podstawowa im. Św. Wincentego Pallotiego, Kraków Os. Krakowiaków 47",Powszechny,Nie,Osiedle Krakowiaków od 1 do 17
401,"Szkoła Podstawowa im. Św. Wincentego Pallotiego, Kraków Os. Krakowiaków 47",Powszechny,Nie,Osiedle Krakowiaków od 18 do 47
402,"Zespół Szkół Ogólnokształcących Nr 2, Kraków Os. Teatralne 33",Powszechny,Nie,"Osiedle Teatralne od 1 do 7, od 25 do 33"
403,"Zespół Szkół Ogólnokształcących Sportowych Nr 2, Kraków Os. Teatralne 35",Powszechny,Nie,"Osiedle Teatralne od 8 do 24, od 34 do 35, Ludźmierska"
404,"Zespół Szkół Ogólnokształcących Sportowych Nr 1, Kraków Os. Handlowe 4",Powszechny,Nie,Osiedle Centrum D
405,"Zespół Szkół Ogólnokształcących Sportowych Nr 1, Kraków Os. Handlowe 4",Powszechny,Nie,Osiedle Handlowe
406,"Gimnazjum Nr 48, Kraków Os. Kolorowe 29",Powszechny,Nie,"Osiedle Kolorowe od 1 do 15, 17 a"
407,"Gimnazjum Nr 48, Kraków Os. Kolorowe 29",Powszechny,Nie,Osiedle Kolorowe od 16 do 47 (bez 17 a)
408,"Zespół Szkół Ekonomicznych Nr 2, Kraków Os. Spółdzielcze 6",Powszechny,Nie,Osiedle Spółdzielcze
409,"Zespół Szkół Specjalnych Nr 6, Kraków Ptaszyckiego 9",Powszechny,Tak,"Bardosa, Graniczna, Grąby, Hutnika, Jagienki, Jeżynowa, Jutrzyńska, Kępska, Klasztorna, Kmicica, Kopaniec, Kublińskiego, Longinusa Podbipięty (bez Nr 1,19,19a,21,21a,64,74,78c,d,e,80b,82b,86), Na Niwach, Odmętowa ( bez Nr 14,16,96.98), Opata Salwińskiego, Podbagnie, Powiatowa, Ptaszyckiego, Samostrzelnika, Stare Wiślisko, Syrachowska, Ujastek Mogilski, Wańkowicza 8, 14, 16, 20, 22, Wiśniowieckiego, Wojenna, Wołodyjowskiego, Zagłoby, Zakarnie, Zbyszka z Bogdańca, Ziarkowa bez Nr 4,8, Żaglowa"
410,"Szkoła Podstawowa Nr 74, Kraków Branicka 26",Powszechny,Nie,"Branicka, Chałupki, Deszczowa, Generała Karaszewicza-Tokarzewskiego (bez 39, 41, 43, 43 a, 45, 46, 48, 50, 52, 54), Kąkolowa, Kłosowa, Łubinowa, Plastusia, Powojowa, Rumiankowa, Sasanek, Szymańskiego, Tatarakowa, Truskawkowa, Wrzosowa, Zaporębie, Żółwia"
411,"Szkoła Podstawowa Nr 140, Kraków Prawocheńskiego 7 (Os. Wyciąże)",Powszechny,Nie,"Barwinkowa, Ciekowiec, Czeczeńska 7, 9, 11, 13, 15, 27, Generała Karaszewicza-Tokarzewskiego 39, 41, 43, 43 a, 45, 46, 48, 50, 52, 54, Igołomska od 35 do 82 b, Jeziorko, Podstawie, Prawocheńskiego, Pysońce, Rusiecka, Rzepakowa, Sitowiny, Tarasowa, Trzcinowa, Tymiankowa, Ubeliny, Narcyza-Wiatra, Wiatraczna, Wyciąska, Za Górą, Ziemska"
412,"Szkoła Podstawowa Nr 142, Kraków Drożyska 13 (Os. Wolica)",Powszechny,Nie,"Bartnicza, Betonowa, Biwakowa, Brzeska, Drożyska, Flame, Jaglana, Kontryma, Księdza Luzara, Morgi, Nadwodna, Plac Turzymy, Plażowa, Pluty-Czachowskiego, Przylasek, Siejówka, Szlifierska, Wiązowa, Zakępie"
413,"Świetlica Osiedlowa, Kraków Nadbrzezie 18",Powszechny,Tak,"Cementowa, Dymarek, Gwarecka, Igołomska od 1 do 34, Jezierskiego, Karowa, Martenowska, Młotków, Nadbrzezie, Nenckiego, Ostrów, Popielnik, Rudni, Suchy Jar, Świętego Wincentego, Ziemianek"
414,"Szpital Uniwersytecki w Krakowie Oddział Kliniczny Kliniki Alergii i Immunologii oraz Pulmonologii, Kraków Skawińska 8",Szpital,Nie,Szpital Uniwersytecki w Krakowie Oddział Kliniczny Kliniki Alergii i Immunologii oraz Pulmonologii
415,"Szpital Zakonu Bonifratrów św. Jana Grandego, Kraków Trynitarska 11",Szpital,Nie,Szpital Zakonu Bonifratrów Św. Jana Granego
416,"Centrum Onkologii Instytutu im.M.Skłodowskiej-Curie, Kraków Garncarska 11",Szpital,Nie,Centrum Onkologii Instytut im.M.Skłodowskiej-Curie
417,"Szpital Specjalistyczny im. J. Dietla, Kraków Skarbowa 1",Szpital,Nie,Szpital Specjalistyczny im.J. Dietla
418,"Niepubliczny Zakład Opieki Zdrowotnej Szpital im. R. Czerwiakowskiego, Kraków Siemiradzkiego 1",Szpital,Nie,"Niepubliczny Zakład Opieki Zdrowotnej , Szpital Na Siemiradzkiego im.R.Czerwiakowskiego"
419,"Dom Pomocy Społecznej im. św. Antoniego Prowincji M. B. Anielskiej Zakonu Braci Mniejszych, Kraków Krowoderska 7",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej im. św. Antoniego Prowincji M. B. Anielskiej Zakonu Braci Mniejszych
420,"Dom Pomocy Społecznej, Kraków Krakowska 43, 45, 47, 53, 55",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
421,"Dom Pomocy Społecznej, Kraków Helclów 2",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
422,"Areszt Śledczy, Kraków Montelupich 7",Areszt śledczy,Nie,Areszt Śledczy
423,Szpital Uniwersytecki Kraków Kopernika 36,Szpital,Nie,Szpital Uniwersytecki (kliniki przy ulicy Kopernika)
424,"Zakład Opiekuńczo - Leczniczy Zgromadzenia Sióstr Felicjanek, Kraków Kołłątaja 7",Zakład pomocy społecznej,Nie,Zakład Opiekuńczo-Leczniczy Zgromadzenia Sióstr Felicjanek
425,"Krakowski Szpital Specjalistyczny im. Jana Pawła II, Kraków Prądnicka 80",Szpital,Nie,Krakowski Szpital Specjalistyczny im. Jana Pawła II
426,"Szpital Miejski Specjalistyczny im. G. Narutowicza, Kraków Prądnicka 35-37",Szpital,Nie,Szpital Miejski Specjalistyczny im. G. Narutowicza
427,"Dom Pomocy Społecznej ""Seniora Naftowca"", Kraków Kluzeka 6",Zakład pomocy społecznej,Nie,"Dom Pomocy Społecznej ""Seniora Naftowca"""
428,"Wojewódzki Szpital Okulistyczny, Kraków Dożynkowa 61",Szpital,Nie,Wojewódzki Szpital Okulistyczny
429,"Zakład Opieki Zdrowotnej MSWiA, Kraków Galla 25",Szpital,Nie,Zakład Opieki Zdrowotnej Ministerstwa Spraw Wewnętrznych i Administracji
430,"5 Wojskowy Szpital Kliniczny z Polikliniką, Kraków Wrocławska 1-3",Szpital,Nie,5 Wojskowy Szpital Kliniczny z Polikliniką
431,"Krakowski Szpital Reumatologiczno-Rehabilitacyjny, Kraków Al.F.Focha 33",Szpital,Nie,Krakowski Szpital Reumatologiczno-Rehabilitacyjny
432,"Krakowskie Centrum Rehabilitacji, Kraków Al. Modrzewiowa 22",Szpital,Nie,Krakowskie Centrum Rehabilitacji
433,"Dom Pomocy Społecznej, Kraków Babińskiego 25",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
434,"Szpital Specjalistyczny im.J.Babińskiego, Kraków Babińskiego 29",Szpital,Nie,Szpital Specjalistyczny im.J.Babińskiego
435,"Dom Pomocy Społecznej, Kraków Praska 25",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
436,"Dom Pomocy Społecznej im. Brata Alberta, Kraków Nowaczyńskiego 1",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej im. św. Brata Alberta
437,"Dom Pomocy Społecznej Sióstr Służebniczek Staromiejskich, Kraków Podgórki Tynieckie 96",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej Sióstr Służebniczek Staromiejskich
438,"Zespół Uzdrowisk Krakowskich S.A.- Krakowskie Szpitale Uzdrowiskowe, Kraków Kąpielowa 70",Szpital,Nie,Zespół Uzdrowisk Krakowskich S.A.- Krakowskie Szpitale Uzdrowiskowe
439,"Zakład Opiekuńczo - Leczniczy, Kraków Wielicka 267",Zakład pomocy społecznej,Nie,Zakład Opiekuńczo-Leczniczy
440,"Areszt Śledczy, Kraków Czarnieckiego 3",Areszt śledczy,Nie,Areszt Śledczy
441,"Dom Pomocy Społecznej, Kraków Łanowa 39",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
442,"Dom Pomocy Społecznej, Kraków Łanowa 41",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
443,"Dom Pomocy Społecznej, Kraków Łanowa 41b",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
444,"Dom Pomocy Społecznej, Kraków Łanowa 43a",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
445,"Dom Pomocy Społecznej, Kraków Łanowa 43bd",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
446,"Dom Pomocy Społecznej, Kraków Sołtysowska 13D",Zakład pomocy społecznej,Nie,Dom Pomocy Społecznej
447,"Zakład Karny Kraków - Nowa Huta, Kraków Spławy 2",Zakład karny,Nie,Zakład Karny Kraków-Nowa H/uta
448,"Wojewódzki Szpital Specjalistyczny im. L. Rydygiera, Kraków Os. Złotej Jesieni 1",Szpital,Nie,Wojewódzki Szpital Specjalistyczny im. L. Rydygiera
449,"Szpital Specjalistyczny im. S. Żeromskiego, Kraków Os. Na Skarpie 66",Szpital,Nie,Szpital Specjalistyczny im. S. Żeromskiego
450,Dom Pomocy Społecznej Kraków os. Sportowe 9,Powszechny,,Dom Pomocy Społecznej Kraków os. Sportowe 9
451,Dom Pomocy Społecznej os. Szkolne 28,Powszechny,,Dom Pomocy Społecznej os. Szkolne 28
452,Dom Pomocy Społecznej Kraków os. Hutnicze 5,Powszechny,,Dom Pomocy Społecznej Kraków os. Hutnicze 5
453,"Zakład Opieki Zdrowotnej ""Centrum Medyczne - Nowa Huta"", sp. z o.o., Kraków Ujastek 3",Szpital,Nie,"Zakład Opieki Zdrowotnej ""Centrum Medyczne - Nowa Huta"", sp. z o.o."
